"grouping_var","Noise_Proc","balanced_accuracy","bal_acc_p","bal_acc_p_adj","Method"
"FC_LocalSimple_mean1_tauresrat","AROMA+2P",62.07,"6.77e-04","1.49e-02","ii: Feature-wise"
"SB_MotifThree_quantile_hh","AROMA+2P",59.96,"6.26e-03","5.16e-02","ii: Feature-wise"
"SP_Summaries_welch_rect_centroid","AROMA+2P",58.83,"1.61e-02","8.16e-02","ii: Feature-wise"
"SP_Summaries_welch_rect_area_5_1","AROMA+2P",56.74,"3.71e-02","1.29e-01","ii: Feature-wise"
"IN_AutoMutualInfoStats_40_gaussian_fmmi","AROMA+2P",56.7,"3.71e-02","1.29e-01","ii: Feature-wise"
"FC_LocalSimple_mean3_stderr","AROMA+2P",56.15,"7.73e-02","1.82e-01","ii: Feature-wise"
"PD_PeriodicityWang_th0_01","AROMA+2P",54.9,"7.73e-02","1.82e-01","ii: Feature-wise"
"DN_HistogramMode_5","AROMA+2P",54.81,"7.73e-02","1.82e-01","ii: Feature-wise"
"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1","AROMA+2P",53.95,"1.44e-01","2.64e-01","ii: Feature-wise"
"DN_OutlierInclude_p_001_mdrmd","AROMA+2P",52.74,"2.42e-01","3.72e-01","ii: Feature-wise"
"DN_OutlierInclude_n_001_mdrmd","AROMA+2P",51.75,"3.69e-01","5.08e-01","ii: Feature-wise"
"CO_f1ecac","AROMA+2P",51.53,"3.69e-01","5.08e-01","ii: Feature-wise"
"SB_BinaryStats_mean_longstretch1","AROMA+2P",51.48,"3.69e-01","5.08e-01","ii: Feature-wise"
"CO_FirstMin_ac","AROMA+2P",51.36,"3.69e-01","5.08e-01","ii: Feature-wise"
"SB_BinaryStats_diff_longstretch0","AROMA+2P",49.8,"5.13e-01","6.51e-01","ii: Feature-wise"
"CO_trev_1_num","AROMA+2P",49.44,"5.13e-01","6.51e-01","ii: Feature-wise"
"MD_hrv_classic_pnn40","AROMA+2P",49.12,"6.57e-01","7.35e-01","ii: Feature-wise"
"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1","AROMA+2P",48.91,"6.57e-01","7.35e-01","ii: Feature-wise"
"CO_HistogramAMI_even_2_5","AROMA+2P",48.36,"6.57e-01","7.35e-01","ii: Feature-wise"
"DN_HistogramMode_10","AROMA+2P",48.33,"6.57e-01","7.35e-01","ii: Feature-wise"
"CO_Embed2_Dist_tau_d_expfit_meandiff","AROMA+2P",47.23,"7.82e-01","8.06e-01","ii: Feature-wise"
"SB_TransitionMatrix_3ac_sumdiagcov","AROMA+2P",46.7,"7.82e-01","8.06e-01","ii: Feature-wise"
